,Unnamed: 0,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
0,0,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m03.96s,5h42m36.768s,6,18.253611008,58806.077002314814,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06653_3C147_0007.gpuspec.0000.fil
1,1,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m03.96s,5h42m36.768s,6,1.0737418239999998,58806.077002314814,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06653_3C147_0007.gpuspec.0002.fil
2,2,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,3C353,0d01m08.04s,17h20m29.496s,6,18.253611008,58845.60174768519,0.0,spliced_blc7071727374757677_guppi_58845_51991_3C353_0050.gpuspec.0000.fil
3,3,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,49d51m51.84s,5h42m33.096s,6,0.000349525333333333,58921.72145833332,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62334_3C147_0122.rawspec.0001.fil
4,4,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C48,34d08m57.48s,1h37m46.56s,6,18.253611008,58570.735439814816,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63542_3C48_0027.gpuspec.0000.fil
5,5,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d12m46.8s,3h58m55.368s,6,18.253611008,58532.67306712963,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58532_58153_PSR_B0355+54_0014.gpuspec.0000.fil
6,6,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,3C286,31d30m06.48s,13h31m05.568s,6,18.253611008,58743.906608796286,0.0,spliced_blc4041424344454647_guppi_58743_78331_3C286_0007.gpuspec.0000.fil
7,7,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m10.08s,5h42m36.024s,6,0.0003495253333333333,58692.79215277777,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_68442_3C147_0051.gpuspec.8.0001.fil
8,8,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d10m19.92s,14h11m09.264s,6,18.253611008,58642.0240162037,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_02075_3C295_0008.gpuspec.0000.fil
9,9,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C48,34d08m57.48s,1h37m46.56s,6,1.0737418239999998,58570.735439814816,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63542_3C48_0027.gpuspec.0002.fil
10,10,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d14m00.24s,14h11m41.16s,6,1.0737418239999998,58642.02233796296,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_01930_3C295_0007.gpuspec.0002.fil
11,11,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d50m59.64s,5h42m42.912s,6,18.253611008,58806.078611111116,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06792_3C147_0008.gpuspec.0000.fil
12,12,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C48,33d09m43.2s,1h37m40.872s,6,0.0003495253333333333,58570.733680555546,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63390_3C48_0026.gpuspec.8.0001.fil
13,13,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C48,34d08m57.48s,1h37m46.56s,6,0.0003495253333333333,58570.735439814816,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63542_3C48_0027.gpuspec.8.0001.fil
14,14,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m04.68s,5h42m36.048s,6,0.0003495253333333333,58692.773981481485,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_66872_3C147_0046.gpuspec.8.0001.fil
15,15,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d14m03.12s,14h11m15.768s,6,18.253611008,58667.349976851845,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58667_30238_3C295_0042.gpuspec.0000.fil
16,16,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d55m00.12s,20h23m03.264s,6,0.0003495253333333333,58667.1541087963,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58667_13315_PSR_B2021+51_0022.gpuspec.8.0001.fil
17,17,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,0.0003495253333333333,58737.94384259259,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58737_81548_PSR_B2021+51_0023.gpuspec.0001.fil
18,18,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C196,49d13m02.28s,8h13m36.072s,6,0.0003495253333333333,58734.76784722224,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58734_66342_3C196_0088.gpuspec.0001.fil
19,19,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,-536870912,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,18.253611008,58616.05766203704,0.0,spliced_blc404142434445464750515253545556576061o263o4o5o6o7_guppi_58616_04982_PSR_B0950+08_0033.gpuspec.0000.fil
20,20,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C196,49d13m02.28s,8h13m36.072s,6,1.0737418239999998,58734.76784722224,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58734_66342_3C196_0088.gpuspec.0002.fil
21,21,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m06.48s,5h42m36.072s,6,0.0003495253333333333,58779.15831018519,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_13678_3C147_0008.gpuspec.8.0001.fil
22,22,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m09s,14h11m20.568s,6,0.0003495253333333333,58702.18717592593,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16172_3C295_0014.gpuspec.0001.fil
23,23,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m03.96s,5h42m36.768s,6,0.0003495253333333333,58806.077002314814,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06653_3C147_0007.gpuspec.8.0001.fil
24,24,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m09s,14h11m20.568s,6,1.0737418239999998,58702.18717592593,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16172_3C295_0014.gpuspec.0002.fil
25,25,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,49d51m51.84s,5h42m33.096s,6,1.073741823999999,58921.72145833332,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62334_3C147_0122.rawspec.0002.fil
26,26,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C295,52d11m38.76s,14h11m19.104s,6,0.0003495253333333333,58616.44885416666,0.0,spliced_blc4041424344454647_guppi_58616_38781_3C295_0139.gpuspec.0001.fil
27,27,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d29m54.24s,13h31m01.872s,6,18.253611008,58733.95710648147,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82694_3C286_0129.gpuspec.0000.fil
28,28,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,18.253611008,58743.91260416668,0.0,spliced_blc4041424344454647_guppi_58743_78849_PSR_B2021+51_0009.gpuspec.0000.fil
29,29,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,3C286,30d30m48.6s,13h31m06.912s,6,18.253611008,58743.904976851845,0.0,spliced_blc4041424344454647_guppi_58743_78190_3C286_0006.gpuspec.0000.fil
30,30,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d50m55.68s,5h42m32.544s,6,18.253611008,58692.775613425925,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_67013_3C147_0047.gpuspec.0000.fil
31,31,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d50m55.68s,5h42m32.544s,6,1.0737418239999998,58692.775613425925,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_67013_3C147_0047.gpuspec.0002.fil
32,32,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,50d50m55.68s,5h42m32.544s,6,0.0003495253333333333,58692.775613425925,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_67013_3C147_0047.gpuspec.8.0001.fil
33,33,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d17m26.88s,14h11m17.472s,6,1.0737418239999998,58702.252129629625,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_21784_3C295_0039.gpuspec.0002.fil
34,34,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,30d30m48.96s,13h31m10.944s,6,18.253611008,58734.93146990741,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80479_3C286_0136.gpuspec.0000.fil
35,35,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d29m54.24s,13h31m01.872s,6,0.0003495253333333333,58733.95710648147,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82694_3C286_0129.gpuspec.0001.fil
36,36,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d12m14.4s,14h11m22.008s,6,18.253611008,58702.188784722224,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16311_3C295_0015.gpuspec.0000.fil
37,37,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d29m54.24s,13h31m01.872s,6,1.0737418239999998,58733.95710648147,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82694_3C286_0129.gpuspec.0002.fil
38,38,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d51m06.48s,5h42m36s,6,18.253611007999986,58921.72454861111,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62601_3C147_0124.rawspec.0000.fil
