HEADER,NAME,RA,DECL,id,pulsar_id_str,RA_dec_hrs,DECL_dec_deg
"9032","PSR_J0332+5434","03:32:59.3","+54:34:43.5","1","pulsar1","3.549806","54.578611"
"9033","PSR_J0953+0755","09:53:09.3","+07:55:35.7","2","pulsar2","9.885917","7.926389"
"9034","PSR_J1935+1616","19:35:47.8","+16:16:39.9","3","pulsar3","19.596611","16.2775"
"9035","PSR_J2022+2854","20:22:37.0","+28:54:23.1","4","pulsar4","20.376944","28.906389"
"9036","PSR_J1932+1059","19:32:13.9","+10:59:32.4","5","pulsar5","19.537194","10.992222"
"9038","PSR_J2018+2839","20:18:03.8","+28:39:54.2","7","pulsar7","20.301056","28.665"
"9039","PSR_J2022+5154","20:22:49.8","+51:54:50.2","8","pulsar8","20.3805","51.913889"
"9040","PSR_J0358+5413","03:58:53.7","+54:13:13.7","9","pulsar9","3.981583","54.220278"
"9041","PSR_J1645-0317","16:45:02.0","-03:17:58.3","10","pulsar10","16.750556","-3.299444"
"9044","PSR_J1807-0847","18:07:38.0","-08:47:43.2","13","pulsar13","18.127222","-8.795278"
"9046","PSR_J0534+2200","05:34:31.9","+22:00:52.0","15","pulsar15","5.575528","22.014444"
"9047","PSR_J0248+6021","02:48:18.6","+60:21:34.7","16","pulsar16","2.805167","60.359444"
"9048","PSR_J1939+2134","19:39:38.5","+21:34:59.1","17","pulsar17","19.660694","21.583056"
"9049","PSR_J0454+5543","04:54:07.7","+55:43:41.4","18","pulsar18","4.902139","55.728056"
"9050","PSR_J2048-1616","20:48:35.6","-16:16:44.5","19","pulsar19","20.809889","-16.278889"
"9054","PSR_J1713+0747","17:13:49.5","+07:47:37.4","23","pulsar23","17.230417","7.793611"
"9055","PSR_J0814+7429","08:14:59.5","+74:29:05.7","24","pulsar24","8.249861","74.484722"
"9056","PSR_J0826+2637","08:26:51.3","+26:37:23.7","25","pulsar25","8.447583","26.623056"
"9057","PSR_J1239+2453","12:39:40.4","+24:53:49.2","26","pulsar26","12.661222","24.896944"
"9059","PSR_J1740+1000","17:40:25.9","+10:00:06.3","28","pulsar28","17.673861","10.001667"
"9060","PSR_J2257+5909","22:57:57.7","+59:09:14.8","29","pulsar29","22.966028","59.153889"
"9062","PSR_J0543+2329","05:43:09.6","+23:29:05","31","pulsar31","5.719333","23.484722"
"9063","PSR_J2145-0750","21:45:50.4","-07:50:18.4","32","pulsar32","21.764","-7.838333"
"9064","PSR_J1844+0000","18:44:11","+00:35:00","33","pulsar33","18.736389","0.583333"
"9065","PSR_J1848-0123","18:48:23.5","-01:23:58.2","34","pulsar34","18.806528","-1.399444"
"9066","PSR_J1948+3540","19:48:25.0","+35:40:11.0","35","pulsar35","19.806944","35.669722"
"9067","PSR_J1509+5531","15:09:25.6","+55:31:32.3","36","pulsar36","15.157111","55.525556"
"9068","PSR_J1705-1906","17:05:36.0","-19:06:38.6","37","pulsar37","17.093333","-19.110556"
"9069","PSR_J1954+2923","19:54:22.5","+29:23:17.2","38","pulsar38","19.90625","29.388056"
"9070","PSR_J1829-1751","18:29:43.1","-17:51:03.9","39","pulsar39","18.495306","-17.850833"
"9071","PSR_J1818-1422","18:18:23.7","-14:22:36.7","40","pulsar40","18.306583","-14.376667"
"9072","PSR_J0820-1350","08:20:26.3","-13:50:55.8","41","pulsar41","8.340639","-13.848611"
"9073","PSR_J2013+3845","20:13:10.3","+38:45:43.3","42","pulsar42","20.219528","38.761944"
"9074","PSR_J1022+1001","10:22:58.0","+10:01:52.7","43","pulsar43","10.382778","10.031111"
"9075","PSR_J1820-0427","18:20:52.6","-04:27:38.1","44","pulsar44","18.347944","-4.460556"
"9076","PSR_J1921+2153","19:21:44.8","+21:53:02.2","45","pulsar45","19.362444","21.883889"
"9077","PSR_J1543+0929","15:43:38.8","+09:29:16.3","46","pulsar46","15.727444","9.487778"
"9078","PSR_J1852-0635","18:52:57.3","-06:35:57","47","pulsar47","18.882583","-6.599167"
"9079","PSR_J1903+0135","19:03:29.9","+01:35:38.3","48","pulsar48","19.058306","1.593889"
"9080","PSR_J2108+4441","21:08:20.4","+44:41:48.8","49","pulsar49","21.139","44.696667"
"9081","PSR_J0452-1759","04:52:34.1","-17:59:23.3","50","pulsar50","4.876139","-17.989722"
