,Unnamed: 0,Unnamed: 0.1,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
556,556,556,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B1929+10,10d59m32.64s,19h32m13.848s,6,18.253611007999986,58921.36201388889,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_31278_PSR_B1929+10_0020.rawspec.0000.fil
564,564,564,0.0,1,8438.96484375,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B1929+10,10d59m32.64s,19h32m13.848s,6,0.000349525333333333,58921.36201388889,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_31278_PSR_B1929+10_0020.rawspec.8.0001.fil
563,563,563,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,PSR_B1929+10,10d59m32.64s,19h32m13.848s,6,1.073741823999999,58921.36201388889,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_31278_PSR_B1929+10_0020.rawspec.0002.fil
562,562,562,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,PSR_B1929+10,10d59m32.64s,19h32m13.848s,6,0.000349525333333333,58921.36201388889,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_31278_PSR_B1929+10_0020.rawspec.0001.fil
262,262,262,0.0,1,8438.96484375,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m50.4s,20h22m49.8s,6,0.000349525333333333,58921.340625,0.0,spliced_blc10111213141516o7o0212223242526o7o03132343536o7o041424344454647_guppi_58921_29430_PSR_B2021+51_0010.rawspec.8.0001.fil
256,256,256,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m50.4s,20h22m49.8s,6,1.073741823999999,58921.340625,0.0,spliced_blc10111213141516o7o0212223242526o7o03132343536o7o041424344454647_guppi_58921_29430_PSR_B2021+51_0010.rawspec.0002.fil
255,255,255,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m50.4s,20h22m49.8s,6,0.000349525333333333,58921.340625,0.0,spliced_blc10111213141516o7o0212223242526o7o03132343536o7o041424344454647_guppi_58921_29430_PSR_B2021+51_0010.rawspec.0001.fil
221,221,221,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m50.4s,20h22m49.8s,6,18.253611007999986,58921.340625,0.0,spliced_blc10111213141516o7o0212223242526o7o03132343536o7o041424344454647_guppi_58921_29430_PSR_B2021+51_0010.rawspec.0000.fil
508,508,508,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B1133+16,15d51m07.2s,11h36m03.36s,6,0.0003495253333333333,58845.46428240741,0.0,spliced_blc7071727374757677_guppi_58845_40114_PSR_B1133+16_0009.gpuspec.0001.fil
498,498,498,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B1133+16,15d51m07.2s,11h36m03.36s,6,18.253611008,58845.46428240741,0.0,spliced_blc7071727374757677_guppi_58845_40114_PSR_B1133+16_0009.gpuspec.0000.fil
